Name,Genre,ESRB_Rating,Platform,Publisher,Score,Sales,Year
NBA Live 07,Sports,E,X360,EA Sports,6,0.47,2006
F.E.A.R. 2: Project Origin,Shooter,M,PS3,Warner Bros. Interactive,8.2,0.47,2009
ICO,Adventure,T,PS2,Sony Computer Entertainment,8.8,0.47,2001
Unreal Tournament III,Shooter,M,X360,Midway Games,7.8,0.47,2008
2010 FIFA World Cup South Africa,Sports,E,PSP,EA Sports,6.8,0.47,2010
Valkyrie Profile 2: Silmeria,Role-Playing,T,PS2,Square Enix,8.4,0.47,2006
Dragon Age Origins: Awakening,Role-Playing,M,X360,Electronic Arts,8.3,0.47,2010
Shadowrun (2007),Shooter,M,X360,Microsoft Game Studios,6.3,0.47,2007
Dead Space Extraction,Shooter,M,Wii,Electronic Arts,8.2,0.47,2009
Doom 64,Shooter,M,N64,Midway Games,7.4,0.47,1997
Quest 64,Role-Playing,E,N64,THQ,5.4,0.47,1998
Viva Pinata: Trouble in Paradise,Simulation,E,X360,Microsoft Game Studios,8.5,0.47,2008
Need for Speed Carbon,Racing,E10,XB,Electronic Arts,7.9,0.47,2006
Silent Hill: Shattered Memories,Adventure,M,Wii,Konami,7.3,0.47,2009
FlingSmash,Action,E,Wii,Nintendo,3.8,0.47,2010
"Warhammer 40,000: Dawn of War II",Strategy,M,PC,THQ,8.7,0.47,2009
Final Fantasy Crystal Chronicles: Echoes of Time,Role-Playing,E10,DS,Square Enix,7.7,0.47,2009
Detective Pikachu,Adventure,E,3DS,Nintendo,7.1,0.47,2018
Knack 2,Platform,E10,PS4,Sony Interactive Entertainment,6.7,0.47,2017
Spider-Man: Friend or Foe,Action,E10,DS,Activision,5.3,0.47,2007
Spider-Man 3,Platform,E10,DS,Activision,8,0.47,2007
Just Dance 2014,Music,E10,PS4,Ubisoft,7.5,0.47,2013
Two Worlds II,Role-Playing,M,PS3,SouthPeak Interactive,6.5,0.47,2011
Sonic Mania,Platform,E,NS,Sega,8.8,0.47,2017
Petz Sports,Simulation,E,Wii,Ubisoft,5,0.47,2008
Dance Dance Revolution: Mario Mix,Simulation,E,GC,Nintendo,7,0.47,2005
Metal Gear Solid: The Twin Snakes,Action,M,GC,Konami,8.1,0.47,2004
Tiger Woods PGA Tour 07,Sports,E,Wii,EA Sports,7.1,0.47,2007
Mat Hoffman's Pro BMX 2,Sports,T,PS2,Activision,8.1,0.46,2002
Metal Gear Solid: The Essential Collection,Adventure,M,PS2,Konami,9,0.46,2008
MX vs. ATV: Alive,Racing,E,PS3,THQ,6.9,0.46,2011
Iridion 3D,Shooter,E,GBA,Majesco,5.6,0.46,2001
Syphon Filter: Logan's Shadow,Shooter,T,PSP,Sony Computer Entertainment,8.4,0.46,2007
FIFA Soccer 12,Sports,E,PC,EA Sports,9.1,0.46,2011
Classic NES Series: Pac-Man,Puzzle,E,GBA,Nintendo,5.7,0.46,2004
Dragon Ball Z: Collectible Card Game,Misc,E,GBA,Infogrames,6,0.46,2002
Brothers In Arms: D-Day,Shooter,M,PSP,Ubisoft,6.8,0.46,2006
Disney's Kim Possible 3: Team Possible,Platform,E,GBA,Disney Interactive Studios,9,0.46,2005
Tomb Raider: Legend,Action,T,PSP,Eidos Interactive,7.2,0.46,2006
Red Faction: Armageddon,Shooter,M,PS3,THQ,7,0.46,2011
Tales of Vesperia,Role-Playing,,PS3,Namco Bandai,8,0.46,2009
Need for Speed: Hot Pursuit,Racing,T,Wii,Electronic Arts,5,0.46,2010
Mario Sports Superstars,Sports,E,3DS,Nintendo,6,0.46,2017
State of Decay 2,Action-Adventure,M,XOne,Microsoft Studios,7,0.46,2018
Mega Man Star Force 3: Black Ace / Red Joker,Role-Playing,E,DS,Capcom,5.7,0.46,2009
Crash Nitro Kart,Racing,E,GBA,Vivendi Games,7.7,0.46,2003
Boom Blox Bash Party,Puzzle,E,Wii,Electronic Arts,8.8,0.46,2009
Jak and Daxter: The Lost Frontier,Platform,E10,PS2,Sony Computer Entertainment,7.5,0.46,2009
Hyrule Warriors: Definitive Edition,Action,T,NS,Nintendo,8,0.46,2018
Bloody Roar II,Fighting,T,PS,Sony Computer Entertainment,8.2,0.46,1999
.hack//Outbreak Part 3,Role-Playing,T,PS2,Bandai,7.1,0.46,2003
The Golden Compass,Adventure,E10,X360,Sega,4.4,0.46,2007
ATV Offroad Fury Pro,Racing,E,PSP,Sony Computer Entertainment,7.6,0.46,2006
Tomb Raider: Underworld,Adventure,T,Wii,Eidos Interactive,6.3,0.45,2008
Enter the Matrix,Action,T,GC,Atari,6.5,0.45,2003
Dead or Alive: Dimensions,Fighting,T,3DS,Tecmo Koei,7.8,0.45,2011
Scooby-Doo! and the Spooky Swamp,Action,E10,Wii,Warner Bros. Interactive,7.6,0.45,2010
Bleach: The Blade of Fate,Fighting,T,DS,Sega,8.2,0.45,2007
Band Hero,Misc,E10,DS,Activision,6.3,0.45,2009
Vin Diesel: Wheelman,Racing,T,X360,Ubisoft,6.7,0.45,2009
Phantasy Star Online Episode I & II,Role-Playing,T,GC,Sega,8.2,0.45,2002
The Powerpuff Girls: Relish Rampage,Action,E,PS2,BAM! Entertainment,3.8,0.45,2002
Burnout Dominator,Racing,E10,PSP,Electronic Arts,7.8,0.45,2007
The Sims 3: Ambitions,Simulation,T,PC,Electronic Arts,7.9,0.45,2010
Area 51,Shooter,M,PS2,Midway Games,7.7,0.45,2005
Enemy Territory: Quake Wars,Shooter,T,X360,Activision,6.7,0.45,2008
Dynasty Warriors: Strikeforce,Action,T,PSP,Tecmo Koei,6.4,0.45,2009
Lego Batman 3: Beyond Gotham,Action,E10,WiiU,Warner Bros. Interactive Entertainment,7.4,0.45,2014
Command & Conquer: Red Alert 3,Strategy,T,X360,Bethesda Softworks,7.4,0.45,2008
F.E.A.R. 3,Shooter,M,PS3,Warner Bros. Interactive,7.8,0.45,2011
Apocalypse,Action,T,PS,Activision,6.7,0.45,1998
L.A. Noire,Adventure,M,NS,Rockstar Games,7.9,0.45,2017
PES 2009: Pro Evolution Soccer,Sports,E,Wii,Konami,8.4,0.45,2009
Style Savvy: Styling Star,Simulation,E,3DS,Nintendo,8.5,0.45,2017
Tekken Advance,Fighting,T,GBA,Namco,8.3,0.45,2002
Shin Megami Tensei: Persona 3,Role-Playing,M,PS2,Atlus,8.7,0.45,2007
LEGO Rock Band,Misc,E,DS,Warner Bros. Interactive,8.4,0.45,2009
Persona,Role-Playing,E,PS,Atlus,8.1,0.45,1996
Hot Wheels: Stunt Track Challenge,Racing,E,GBA,THQ,5.3,0.45,2004
TNA iMPACT!,Fighting,T,X360,Midway Games,6.4,0.45,2008
Bee Movie Game,Action,E,DS,Activision,6,0.45,2007
"Warhammer 40,000: Space Marine",Shooter,M,PS3,THQ,7.3,0.45,2011
Kane & Lynch 2: Dog Days,Shooter,M,PC,Square Enix,6.5,0.45,2010
NBA Live 2005,Sports,E,GC,EA Sports,8.5,0.45,2004
F.E.A.R. 3,Shooter,M,X360,Warner Bros. Interactive,7.8,0.45,2011
WWE Day of Reckoning,Fighting,T,GC,THQ,8.1,0.45,2004
Worms: Open Warfare 2,Strategy,E10,PSP,THQ,8.1,0.45,2007
Vandal Hearts,Role-Playing,M,PS,Konami,7.7,0.45,1997
Virtua Tennis 4,Sports,E,PS3,Sega,6.4,0.45,2011
Sid Meier's Civilization Revolution,Strategy,E10,DS,2K Games,8.2,0.45,2008
Silent Hill: Homecoming,Action,M,X360,Konami,7.6,0.45,2008
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,Shooter,T,PSP,Sony Computer Entertainment,7.5,0.45,2010
Major League Baseball 2K6,Sports,E,PS2,2K Sports,7.3,0.44,2006
Shin Megami Tensei: Devil Survivor Overclocked,Role-Playing,T,3DS,Atlus,7.6,0.44,2011
X-Men Legends II: Rise of Apocalypse,Role-Playing,T,XB,Activision,8.3,0.44,2005
Battlefield 2: Modern Combat,Shooter,T,PS2,Electronic Arts,7.6,0.44,2005
Hey! Pikmin,Platform,E10,3DS,Nintendo,6.8,0.44,2017
Chocobo Racing,Racing,E,PS,Square EA,5.4,0.44,1999
LEGO Star Wars II: The Original Trilogy,Action,E10,XB,LucasArts,8.3,0.44,2006
Viking: Battle for Asgard,Action,M,X360,Sega,6.2,0.44,2008
Dragon Quest Heroes: Rocket Slime,Adventure,E,DS,Square Enix,8.3,0.44,2006
Blood Omen: Legacy of Kain,Role-Playing,M,PS,Crystal Dynamics,7.8,0.44,1996
G-Force,Action,E10,Wii,Disney Interactive Studios,7.5,0.44,2009
Star Fox: Zero,Shooter,E10,WiiU,Nintendo,6.7,0.44,2016
Dragon Ball FighterZ,Fighting,T,NS,Bandai Namco Entertainment,9,0.44,2018
SingStar Queen,Misc,T,PS3,Sony Computer Entertainment,6.8,0.44,2009
Tetris Axis,Puzzle,E,3DS,Nintendo,7.8,0.44,2011
Story of Seasons,Misc,E10,3DS,Xseed Games,7.7,0.44,2015
Madden NFL 12,Sports,E,Wii,EA Sports,7,0.44,2011
Samurai Warriors 3,Action,T,Wii,Nintendo,5.1,0.44,2010
Yu-Gi-Oh! 5D's Tag Force 4,Strategy,E,PSP,Konami,7,0.44,2009
Wario World,Platform,E,GC,Nintendo,7.5,0.44,2003
2014 FIFA World Cup Brazil,Sports,E,X360,EA Sports,7.3,0.44,2014
Crash: Mind Over Mutant,Platform,E10,Wii,Activision,7.5,0.44,2008
Eternal Sonata,Role-Playing,T,PS3,Namco Bandai,8.3,0.44,2008
Hyperdimension Neptunia,Role-Playing,T,PS3,NIS America,5.3,0.44,2011
Battlebots: Design & Destroy,Action,E,GBA,Majesco,4,0.44,2003
Need for Speed: Shift 2 Unleashed,Racing,E10,X360,Electronic Arts,8.5,0.44,2011
Eternal Darkness: Sanity's Requiem,Adventure,M,GC,Nintendo,9.3,0.44,2002
Child of Eden,Shooter,E10,X360,Ubisoft,8.3,0.44,2011
The Darkness,Shooter,M,X360,2K Games,8.3,0.44,2007
Naughty Bear,Action,T,PS3,505 Games,4.5,0.44,2010
LEGO DC Super-Villains,Action-Adventure,,NS,Warner Bros. Interactive Entertainment,7.8,0.44,2018
Primal,Action,M,PS2,Sony Computer Entertainment,7.1,0.43,2003
007: Quantum of Solace,Shooter,T,PS2,Activision,7.8,0.43,2008
NiGHTS into dreams...,Platform,E,SAT,Sega,9.1,0.43,1996
Dragon Ball Z: Shin Budokai - Another Road,Fighting,T,PSP,Atari,7.2,0.43,2007
Crash: Mind Over Mutant,Platform,E10,PSP,Activision,4.8,0.43,2008
MLB 14 The Show,Sports,E,PS3,Sony Computer Entertainment America,8.2,0.43,2014
OkamiDen,Adventure,E10,DS,Capcom,8.3,0.43,2011
Rocksmith 2014,Music,T,XOne,Ubisoft,9,0.43,2016
Mischief Makers,Platform,E,N64,Nintendo,6.5,0.43,1997
Castlevania: Dawn of Sorrow,Platform,T,DS,Konami,8.9,0.43,2005
NBA 2K18,Sports,E10,NS,2K Sports,7.5,0.43,2017
Doom (2016),Shooter,M,NS,Bethesda Softworks,8.2,0.43,2017
Tales of the World: Radiant Mythology,Role-Playing,T,PSP,Namco Bandai,7,0.43,2007
Atelier Totori: The Adventurer of Arland,Role-Playing,T,PS3,NIS America,7.8,0.43,2011
Dawn of Mana,Role-Playing,T,PS2,Square Enix,6.3,0.43,2007
Madden NFL 2003,Sports,E,GC,EA Sports,9.1,0.43,2002
Def Jam Icon,Action,M,PS3,Electronic Arts,6.6,0.43,2007
Sin and Punishment: Star Successor,Shooter,T,Wii,Nintendo,8.4,0.43,2010
Juiced: Eliminator,Racing,T,PSP,THQ,6.6,0.42,2006
Pirates of the Caribbean: At World's End,Action,T,PSP,Disney Interactive Studios,6,0.42,2007
Medal of Honor: Rising Sun,Shooter,T,GC,Electronic Arts,6.6,0.42,2003
2010 FIFA World Cup South Africa,Sports,E,Wii,EA Sports,6.8,0.42,2010
Tony Hawk's American Wasteland,Sports,T,GC,Activision,8.4,0.42,2005
Command & Conquer 3: Tiberium Wars,Strategy,T,X360,Electronic Arts,7.6,0.42,2007
Colony Wars,Simulation,E,PS,Psygnosis,8.8,0.42,1997
Grandia,Role-Playing,,SAT,ESP,8.7,0.42,1997
Guitar Hero: Smash Hits,Misc,T,X360,Activision,7.1,0.42,2009
Horsez,Simulation,E,DS,Ubisoft,4,0.42,2006
LEGO Rock Band,Misc,E10,PS3,Warner Bros. Interactive,7.4,0.42,2009
How to Train Your Dragon,Action,E10,Wii,Activision,6.6,0.42,2010
Baldur's Gate II: Shadows of Amn,Role-Playing,T,PC,Interplay,9.5,0.42,2000
Army Men: Sarge's Heroes 2,Shooter,T,N64,3DO,6,0.42,2000
Dr. Mario 64,Puzzle,E,N64,Nintendo,6,0.42,2001
James Bond 007: Everything or Nothing,Shooter,T,GC,Electronic Arts,7.4,0.42,2004
NBA Live 06,Sports,E,PSP,EA Sports,8.1,0.42,2005
Mega Man Anniversary Collection,Platform,E,GC,Capcom,7.5,0.42,2004
Call of Duty: Black Ops II,Shooter,M,WiiU,Activision,8.6,0.42,2012
NHL Slapshot,Sports,E,Wii,EA Sports,7.6,0.42,2010
Harry Potter and the Goblet of Fire,Adventure,E10,GC,Electronic Arts,6.7,0.42,2005
Valkyrie Profile: Covenant of the Plume,Role-Playing,T,DS,Square Enix,7.5,0.42,2009
Call of Duty: Advanced Warfare,Shooter,M,PC,Activision,8.6,0.42,2014
Sonic Gems Collection,Misc,E,GC,Sega,6.9,0.42,2005
Castlevania: Curse of Darkness,Action,M,PS2,Konami,7.2,0.42,2005
Vanquish,Shooter,M,X360,Sega,8.3,0.42,2010
Castlevania: The Dracula X Chronicles,Platform,T,PSP,Konami,8,0.42,2007
Hell Yeah! Wrath of the Dead Rabbit,Action,,PC,Unknown,5.6,0.42,2004
Zack & Wiki: Quest for Barbaros' Treasure,Adventure,E,Wii,Capcom,8.7,0.42,2007
Blazing Angels: Squadrons of WWII,Simulation,T,X360,Ubisoft,6.4,0.42,2006
Zone of the Enders: The 2nd Runner,Simulation,M,PS2,Konami,8.6,0.41,2003
Dexter's Laboratory Deesaster Strikes,Adventure,E,GBA,BAM! Entertainment,6.5,0.41,2001
Sega Rally Championship 2,Racing,E,DC,Sega,8.5,0.41,1999
Osmos,Misc,,PC,Hemisphere Games,7.8,0.41,2009
TimeShift,Shooter,M,X360,Sierra Entertainment,7,0.41,2007
Jamestown: Legend of the Lost Colony,Shooter,,PC,Unknown,8.3,0.41,2011
300: March to Glory,Action,M,PSP,Warner Bros. Interactive,4.9,0.41,2007
Call of Duty: Modern Warfare: Mobilized,Shooter,T,DS,Activision,7.6,0.41,2009
WWE All Stars,Fighting,T,PS3,THQ,7.6,0.41,2011
BlazBlue: Continuum Shift,Fighting,T,PS3,Aksys Games,8.7,0.41,2010
Command & Conquer: Red Alert,Strategy,T,PS,Westwood Studios,7.8,0.41,1997
Ogre Battle 64: Person of Lordly Caliber,Role-Playing,T,N64,Atlus,9.1,0.41,2000
NiGHTS: Journey of Dreams,Platform,E,Wii,Sega,7,0.41,2007
Transformers: Revenge of the Fallen,Action,E10,PSP,Activision,3.8,0.41,2009
Armored Core,Simulation,T,PS,Sony Computer Entertainment,7.2,0.41,1997
Top Spin 4,Sports,E,X360,2K Sports,8.2,0.41,2011
SpongeBob SquigglePants,Misc,E,Wii,THQ,5.4,0.41,2011
Katamari Forever,Puzzle,E,PS3,Namco Bandai,7.3,0.41,2009
Madden NFL Football,Sports,E,3DS,EA Sports,4.5,0.41,2011
Band Hero,Misc,E10,PS2,Activision,6,0.41,2009
Mortal Kombat: Deadly Alliance,Action,M,GC,Midway Games,8.6,0.41,2002
NBA 2K9,Sports,E,PS2,2K Sports,7,0.41,2008
Green Day: Rock Band,Misc,T,X360,MTV Games,7.8,0.41,2010
Nintendo Labo: Toy-Con 03 Vehicle Kit,Racing,E,NS,Nintendo,7,0.41,2018
"Ed, Edd n Eddy: The Mis-Edventures",Platform,E,PS2,Midway Games,4.8,0.41,2005
Battlefield 2: Modern Combat,Shooter,T,X360,Electronic Arts,7.8,0.41,2006
Shadow Tactics: Blades of the Shogun,Strategy,M,PC,Daedalic Entertainment,8.3,0.41,2016
NBA Jam,Sports,E,Wii,EA Sports,8,0.41,2010
Rune Factory 3: A Fantasy Harvest Moon,Role-Playing,E,DS,Natsume,8,0.41,2010
Naughty Bear,Action,T,X360,505 Games,4.4,0.41,2010
Spider-Man: Web of Shadows,Action,T,X360,Activision,6.6,0.4,2008
TNA iMPACT!,Fighting,T,PS3,Midway Games,6.3,0.4,2008
Beowulf: The Game,Action,M,X360,Ubisoft,4.9,0.4,2007
Overlord,Adventure,T,X360,Codemasters,7.7,0.4,2007
Harry Potter: Quidditch World Cup,Sports,E,GC,Electronic Arts,7.2,0.4,2003
Project X Zone,Role-Playing,T,3DS,Namco Bandai Games,6.5,0.4,2013
The Gunstringer,Shooter,T,X360,Microsoft Studios,7.6,0.4,2011
Power Rangers: Dino Thunder,Action,E,GC,THQ,5.3,0.4,2004
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,Action,E,DS,Konami,7.5,0.4,2009
James Cameron's Avatar: The Game,Action,E10,DS,Ubisoft,6.4,0.4,2009
Fighting Vipers,Fighting,T,SAT,Sega,8,0.4,1996
18 Wheeler: American Pro Trucker,Racing,E,PS2,Acclaim Entertainment,6,0.4,2001
Bugs Bunny: Lost in Time,Platform,E,PS,Infogrames,7,0.4,1999
Marvel: Ultimate Alliance,Role-Playing,T,Wii,Activision,6.9,0.4,2006
Sega Superstars Tennis,Sports,E10,PS3,Sega,6.8,0.4,2008
Spore Hero,Simulation,E10,Wii,Electronic Arts,5.8,0.4,2009
The Urbz: Sims in the City,Simulation,T,GC,Electronic Arts,7.6,0.4,2004
WWE SmackDown! vs. RAW 2006,Fighting,T,PSP,THQ,8.1,0.4,2005
Rocket League,Sports,E,NS,505 Games,9.2,0.4,2018
You Don't Know Jack,Misc,T,PS,Sierra Entertainment,8.5,0.4,1999
Star Wars The Clone Wars: Republic Heroes,Action,E10,DS,LucasArts,5.9,0.4,2009
Star Wars: Clone Wars,Shooter,T,GC,LucasArts,7.3,0.4,2002
Castlevania: Portrait of Ruin,Platform,T,DS,Konami,8.5,0.4,2006
I-Ninja,Platform,T,PS2,Namco,7.2,0.4,2003
Command & Conquer,Strategy,T,PS,Westwood Studios,8.4,0.4,1997
Harvest Moon: Save the Homeland,Simulation,E,PS2,Natsume,7.8,0.4,2001
Call of Duty: Finest Hour,Shooter,T,GC,Activision,7.7,0.4,2004
No More Heroes 2: Desperate Struggle,Action,M,Wii,Ubisoft,8.5,0.4,2010
Tomb Raider: Anniversary,Action,T,X360,Eidos Interactive,7.9,0.39,2007
Etrian Odyssey IV: Legends of the Titan,Role-Playing,T,3DS,Atlus,8.2,0.39,2013
Combat of Giants: Dinosaurs 3D,Strategy,E10,3DS,Ubisoft,4.3,0.39,2011
Bloody Roar,Fighting,T,PS,Sony Computer Entertainment,8.6,0.39,1998
FIFA Soccer 12,Sports,E,3DS,EA Sports,7,0.39,2011
Super Monkey Ball: Step & Roll,Action,E,Wii,Sega,6,0.39,2010
The House of The Dead III,Shooter,M,XB,Sega,6.8,0.39,2002
Final Fantasy Crystal Chronicles: The Crystal Bearers,Adventure,T,Wii,Square Enix,6.7,0.39,2009
NBA Live 09,Sports,E,PSP,Electronic Arts,6.1,0.39,2008
Alpha Protocol,Role-Playing,M,X360,Sega,6.8,0.39,2010
Dungeon Siege III,Role-Playing,T,PS3,Square Enix,7.3,0.39,2011
Donkey Konga 2,Misc,T,GC,Nintendo,6.5,0.39,2005
Just Dance 2014,Music,E10,PS3,Ubisoft,7.8,0.39,2013
Condemned 2: Bloodshot,Shooter,M,PS3,Sega,8.4,0.39,2008
Chibi-Robo! Plug into Adventure!,Adventure,E10,GC,Nintendo,7.4,0.39,2006
Advance Wars: Dual Strike,Strategy,E,DS,Nintendo,9,0.39,2005
LocoRoco,Platform,E,PSP,Sony Computer Entertainment,8.1,0.39,2006
Red Faction: Armageddon,Shooter,M,X360,THQ,7.1,0.39,2011
Ice Age 2: The Meltdown,Platform,E10,PS2,Vivendi Games,7.4,0.39,2006
Robert Ludlum's The Bourne Conspiracy,Action,T,PS3,Sierra Entertainment,7.6,0.39,2008
Samurai Warriors Chronicles,Action,T,3DS,Tecmo Koei,5.4,0.39,2011
Mass Effect 2,Role-Playing,M,PC,Electronic Arts,9.6,0.39,2010
Hitman: Blood Money,Action,M,X360,Eidos Interactive,8.1,0.39,2006
Silent Hill: Homecoming,Action,M,PS3,Konami,7.4,0.39,2008
Metal Gear Solid: Snake Eater 3D,Action-Adventure,M,3DS,Konami Digital Entertainment,7.9,0.39,2012
EA Sports Active 2,Sports,E,X360,Electronic Arts,6.3,0.39,2010
LEGO Star Wars III: The Clone Wars,Action,E10,PSP,LucasArts,6.3,0.39,2011
Harry Potter: Quidditch World Cup,Sports,E,GBA,Electronic Arts,4.9,0.39,2003
Metal Gear Solid HD Collection,Action,M,X360,Konami,9.2,0.38,2011
Marvel: Ultimate Alliance,Role-Playing,T,PS3,Activision,7.7,0.38,2006
Shin Megami Tensei: Nocturne,Role-Playing,M,PS2,Atlus,8,0.38,2004
Viking: Battle for Asgard,Action,M,PS3,Sega,6.6,0.38,2008
Wii Sports Club,Sports,E,WiiU,Nintendo,6.7,0.38,2014
Raving Rabbids: Travel in Time 3D,Platform,E,3DS,Ubisoft,5.8,0.38,2011
Turok: Evolution,Shooter,M,GC,Acclaim Entertainment,7.4,0.38,2002
Ice Age,Action,E,GBA,Ubisoft,4.2,0.38,2002
Sega Superstars Tennis,Sports,E10,PS2,Sega,6.9,0.38,2008
Marvel Nemesis: Rise of the Imperfects,Fighting,T,GC,Electronic Arts,6,0.38,2005
Saints Row: The Third,Action,M,PC,THQ,8.3,0.38,2011
Ghost Trick: Phantom Detective,Adventure,T,DS,Capcom,8.2,0.38,2011
Ice Age: Dawn of the Dinosaurs,Platform,E,DS,Activision,5,0.38,2009
Phoenix Wright: Ace Attorney - Dual Destinies,Misc,M,3DS,Unknown,8.1,0.38,2014
SSX 3,Sports,E,GC,EA Sports BIG,9.5,0.38,2003
NCAA Football 11,Sports,E,PS2,EA Sports,6.4,0.38,2010
Grandia Xtreme,Role-Playing,T,PS2,Enix,6.7,0.38,2002
Virtua Tennis 2009,Sports,E,PS3,Sega,6.6,0.38,2009
Final Fantasy Adventure,Adventure,,GB,Square,9,0.38,1991
Hunter: The Reckoning,Action,M,XB,Interplay,7.8,0.38,2002
The Vanishing of Ethan Carter,Adventure,,PC,The Astronauts,8.7,0.38,2014
Scribblenauts: Unlimited,Puzzle,E10,WiiU,Warner Bros. Interactive Entertainment,7,0.38,2012
Pro Evolution Soccer 2011 3D,Sports,E,3DS,Konami,7.5,0.38,2011
Pokemon Channel,Adventure,E,GC,Nintendo,5.2,0.38,2003
NBA 2K7,Sports,E,PS3,2K Sports,8.1,0.38,2006
Need for Speed: Nitro,Racing,E10,DS,Electronic Arts,7.2,0.38,2009
Tiger Woods PGA Tour 08,Sports,E,PSP,Electronic Arts,7.5,0.38,2007
Hatsune Miku: Project Mirai DX,Misc,E10,3DS,Sega,7.5,0.38,2015
Cogs,Puzzle,,PC,Lazy 8 Studios,7.5,0.38,2009
Magic: The Gathering - Duels of the Planeswalkers 2012,Strategy,T,PC,Wizards of the Coast,8,0.38,2011
Bionic Commando,Adventure,M,X360,Capcom,7.1,0.38,2009
The Golden Compass,Adventure,E10,PSP,Sega,2.8,0.37,2007
NBA 2K10,Sports,E,Wii,2K Sports,5.1,0.37,2009
Batman: Arkham City Armored Edition,Action,T,WiiU,Warner Bros. Interactive Entertainment,8.6,0.37,2012
EA Sports MMA,Fighting,T,PS3,EA Sports,7.6,0.37,2010
Major League Baseball 2K6,Sports,E,X360,2K Sports,6.3,0.37,2006
Minecraft,Misc,E10,3DS,Nintendo,6.7,0.37,2017
"Monsters, Inc. Scream Arena",Platform,E,GC,THQ,3.8,0.37,2002
Quake 4,Shooter,M,X360,Activision,7.3,0.37,2005
Guitar Hero On Tour: Modern Hits,Misc,E10,DS,Activision,7.3,0.37,2009
Burnout Paradise Remastered,Racing,E10,PS4,Electronic Arts,8,0.37,2018
Spider-Man: Friend or Foe,Action,E10,PS2,Activision,5.4,0.37,2007
DiRT 2,Racing,E10,Wii,Codemasters,4.6,0.37,2009
Shovel Knight,Platform,,NS,Yacht Club Games,9,0.37,2019
Super Street Fighter IV: Arcade Edition,Fighting,T,X360,Capcom,8.6,0.37,2011
Age of Empires III,Strategy,T,PC,Microsoft Game Studios,8.3,0.37,2005
Shin Megami Tensei IV: Apocalypse,Role-Playing,M,3DS,Atlus,8.1,0.37,2016
Dungeon Siege III,Role-Playing,T,X360,Square Enix,7.2,0.37,2011
Need for Speed: Hot Pursuit,Racing,T,PC,Electronic Arts,8.9,0.37,2010
Virtua Tennis 2009,Sports,E,Wii,Sega,7.3,0.37,2009
Pac-Man World 2,Platform,E,GC,Namco,7.5,0.37,2002
Tomb Raider: Legend,Action,T,X360,Eidos Interactive,8.1,0.37,2006
Overlord: Dark Legend,Adventure,T,Wii,Codemasters,7,0.37,2009
The Legend of Spyro: A New Beginning,Platform,E,DS,Sierra Entertainment,7.1,0.37,2006
Rune Factory: Frontier,Role-Playing,E10,Wii,Xseed Games,7.9,0.37,2009
Dawn of Discovery,Simulation,T,PC,Ubisoft,8.4,0.37,2009
Rage,Shooter,M,PC,Bethesda Softworks,7.8,0.37,2011
Harry Potter and the Order of the Phoenix,Adventure,E10,PSP,Electronic Arts,4.8,0.37,2007
NFL Street 2 Unleashed,Sports,E,PSP,Electronic Arts,7.4,0.37,2005
Sonic Lost World,Platform,E10,WiiU,Sega,6,0.37,2013
Mini Ninjas,Action,E10,Wii,Eidos Interactive,7.6,0.37,2009
Fragile Dreams: Farewell Ruins of the Moon,Role-Playing,T,Wii,Xseed Games,6.7,0.37,2010
The House of the Dead: Overkill - Extended Cut,Shooter,M,PS3,Sega,7.2,0.37,2011
Elite Beat Agents,Misc,E10,DS,Nintendo,8.4,0.37,2006
Wanted: Weapons of Fate,Shooter,M,X360,Warner Bros. Interactive,6.2,0.37,2009
Xenosaga Episode III: Also sprach Zarathustra,Role-Playing,T,PS2,Namco,7.9,0.37,2006
Virtua Fighter 3tb,Fighting,T,DC,Sega,8.1,0.37,1999
Marvel: Ultimate Alliance,Role-Playing,T,PSP,Activision,8.5,0.37,2006
Castlevania: Order of Ecclesia,Platform,T,DS,Konami,8.2,0.37,2008
"999: Nine Hours, Nine Persons, Nine Doors",Adventure,M,DS,Aksys Games,7.9,0.37,2010
NCAA Football 07,Sports,E,PSP,Electronic Arts,7.6,0.37,2006
SAW,Action,M,PS3,Konami,6,0.36,2009
GoldenEye: Rogue Agent,Shooter,T,GC,Electronic Arts,5.9,0.36,2004
ESPN: Sports Connection,Sports,E,WiiU,Ubisoft,3,0.36,2012
Dragon Ball Z: Attack of the Saiyans,Role-Playing,E10,DS,Namco Bandai,7.2,0.36,2009
F1 2012,Racing,E,PC,Codemasters,8.8,0.36,2012
Tekken Hybrid,Fighting,T,PS3,Namco,4,0.36,2011
NARC,Shooter,M,PS2,Midway Games,5.5,0.36,2005
The Incredibles: Rise of the Underminer,Action,E10,PS2,THQ,6.1,0.36,2005
Taiko no Tatsujin: Drum 'n' Fun!,Music,,NS,Bandai Namco Games,7.5,0.36,2018
Hamtaro: Ham-Ham Heartbreak,Action,E,GBA,Nintendo,8,0.36,2003
Left 4 Dead 2,Shooter,M,PC,Valve,9,0.36,2009
LocoRoco 2,Platform,E,PSP,Sony Computer Entertainment,8.5,0.36,2009
Valkyrie Profile: Lenneth,Role-Playing,T,PSP,Square Enix,8.1,0.36,2006
BlazBlue: Calamity Trigger,Fighting,T,X360,Aksys Games,8.5,0.36,2009
